date,time,power_linear,power_db
2025-08-04,07:00,9728206666444.46,129.88032788197475
2025-08-04,08:00,16424174703301.803,132.15483555960466
2025-08-04,09:00,19561105650899.395,132.91393398739606
2025-08-04,10:00,44910081087372.76,136.5234383920359
2025-08-04,11:00,25111733845853.14,133.99876699717714
2025-08-04,12:00,38242858413123.57,135.82550345598105
2025-08-04,13:00,49683072310509.055,136.96208443976997
2025-08-04,14:00,37176988807668.54,135.70274210686736
2025-08-04,15:00,26611922998244.918,134.250762581422
2025-08-04,16:00,27998637648869.77,134.47136900057487
2025-08-04,17:00,17687617400250.684,132.47669335475396
2025-08-04,18:00,13187786438690.969,131.20171905619353
2025-08-04,19:00,8416877353245.901,129.25150998888313
2025-08-04,20:00,8253042507157.01,129.16614081941552
2025-08-04,21:00,8035415193978.798,129.05008321895295
2025-08-04,22:00,8284617352442.431,129.18272454148175
2025-08-04,23:00,8962586647309.324,129.5243336731088
2025-08-05,00:00,8657591102526.762,129.37397070260943
2025-08-05,01:00,8128839086754.869,129.10028526625248
2025-08-05,02:00,8752655501836.498,129.42139835288495
2025-08-05,03:00,8629459063901.736,129.35983572896492
2025-08-05,04:00,7967076526735.419,129.01298988745748
2025-08-05,05:00,8597479820467.323,129.3437116514308
2025-08-05,06:00,10455551329466.746,130.19346938448007
2025-08-05,07:00,8788719761279.799,129.43925616699983
2025-08-05,08:00,12619461446742.791,131.0104082117606
2025-08-05,09:00,22007807629477.902,133.42576781224713
2025-08-05,10:00,29485592856500.117,134.69609864408827
2025-08-05,11:00,28372224152040.95,134.5289338229203
2025-08-05,12:00,29610076729945.99,134.7143953279791
2025-08-05,13:00,31593172680459.746,134.9959324124003
2025-08-05,14:00,18694423050447.48,132.71712066448063
2025-08-05,15:00,19676532374429.043,132.93948564453925
2025-08-05,16:00,28270627672181.914,134.51335450921033
2025-08-05,17:00,33352708430483.34,135.2313110687784
2025-08-05,18:00,8862038241684.1,129.47533619777803
2025-08-05,19:00,10497275574311.682,130.21076598444066
2025-08-05,20:00,8098144998832.72,129.0838554862765
2025-08-05,21:00,8394069129628.562,129.2397254153649
2025-08-05,22:00,9728292473412.434,129.8803661884475
2025-08-05,23:00,9727718206025.525,129.88010981404327
2025-08-06,00:00,7986634581032.9375,129.02363814259505
2025-08-06,01:00,8657808462923.075,129.37407973667516
2025-08-06,02:00,9926132896039.588,129.9678008545231
2025-08-06,03:00,7893995406962.6455,128.9729686936994
2025-08-06,04:00,8304341253134.707,129.1930518748273
2025-08-06,05:00,8270381458932.031,129.17525541195673
2025-08-06,06:00,9590017096385.363,129.81819381399987
2025-08-06,07:00,8364089973868.683,129.2241869594675
2025-08-06,08:00,9363587756058.943,129.71442285074795
2025-08-06,09:00,13967802182596.867,131.4512807575905
2025-08-06,10:00,23941188982947.57,133.7914571482189
2025-08-06,11:00,12418638440159.201,130.94073983091766
2025-08-06,12:00,39699731109506.32,135.9878756525044
2025-08-06,13:00,29793947767253.78,134.74128052054988
2025-08-06,14:00,25645521809193.01,134.09011540077444
2025-08-06,15:00,16705240131428.078,132.22852722835844
2025-08-06,16:00,15320017715908.174,131.8525926751047
2025-08-06,17:00,15963825555158.197,132.03136973381208
2025-08-06,18:00,11060719414805.068,130.437833754062
2025-08-06,19:00,8265877047897.606,129.17288941011412
2025-08-06,20:00,8084250921811.531,129.076397848367
2025-08-06,21:00,8044402586353.374,129.05493796964072
2025-08-06,22:00,8007527317776.246,129.0349842893926
2025-08-06,23:00,7961834250933.423,129.0101313222142
